,ano,autor,codigoEmenda,funcao,localidadeDoGasto,nomeAutor,numeroEmenda,subfuncao,tipoEmenda,valorEmpenhado,valorLiquidado,valorPago,valorRestoCancelado,valorRestoInscrito,valorRestoPago
0,2020,COMISSAO DE FINANCAS E TRIBUTACAO - CFT,202050170007,Agricultura,Nacional,COMISSAO DE FINANCAS E TRIBUTACAO - CFT,7,Promoção da produção agropecuária,Emenda de Comissão,"0,00","0,00","0,00","0,00","13.417.750,00","668.500,00"
1,2020,RELATOR GERAL,202081001549,Agricultura,Nacional,RELATOR GERAL,1549,Promoção da produção agropecuária,Emenda de Relator,"1,00","0,00","0,00","0,00","2,00","0,00"
2,2020,COMISSAO DE EDUCACAO - CE,202050050003,Educação,Nacional,COMISSAO DE EDUCACAO - CE,3,Educação básica,Emenda de Comissão,"1.000,00","0,00","0,00","0,00","2.000,00","0,00"
3,2020,COMISSAO DE EDUCACAO - CE,202050050004,Educação,Nacional,COMISSAO DE EDUCACAO - CE,4,Ensino superior,Emenda de Comissão,"1.000,00","0,00","0,00","0,00","2.000,00","0,00"
4,2020,SANDERSON,202040730010,Comércio e serviços,RIO GRANDE DO SUL (UF),SANDERSON,10,Turismo,Emenda Individual,"1.400,00","1.400,00","1.400,00","0,00","0,00","0,00"
5,2020,RELATOR GERAL,202081000290,Cultura,Nacional,RELATOR GERAL,290,Difusão cultural,Emenda de Relator,"2.140,86","2.140,86","2.140,86","0,00","0,00","0,00"
6,2020,COMISSAO DE ASSUNTOS ECONOMICOS - CAE,202060050002,Indústria,Nacional,COMISSAO DE ASSUNTOS ECONOMICOS - CAE,2,Promoção industrial,Emenda de Comissão,"3.500,00","0,00","0,00","3.500,00","3.500,00","0,00"
7,2020,RELATOR GERAL,202081001494,Cultura,Nacional,RELATOR GERAL,1494,Difusão cultural,Emenda de Relator,"3.934,90","3.934,90","3.934,90","0,00","0,00","0,00"
8,2020,CAMILO CAPIBERIBE,202039250022,Organização agrária,AMAPÁ (UF),CAMILO CAPIBERIBE,22,Reforma agrária,Emenda Individual,"7.390,12","1.510,12","1.510,12","5.880,00","5.880,00","0,00"
9,2020,MAILZA GOMES,202038920005,Educação,ACRE (UF),MAILZA GOMES,5,Ensino profissional,Emenda Individual,"8.286,00","0,00","0,00","0,00","8.286,00","8.286,00"
10,2020,"COMISSAO DE TRANSPARENCIA, GOVERNANCA, FISCALIZACA",202050350001,Administração,Nacional,"COMISSAO DE TRANSPARENCIA, GOVERNANCA, FISCALIZACA",1,Administração geral,Emenda de Comissão,"10.000,00","10.000,00","10.000,00","0,00","0,00","0,00"
11,2020,"COMISSAO DE DESENVOLVIMENTO ECONOMICO, INDUSTRIA E",202050150002,Comércio e serviços,Nacional,"COMISSAO DE DESENVOLVIMENTO ECONOMICO, INDUSTRIA E",2,Comércio exterior,Emenda de Comissão,"10.000,00","0,00","0,00","6.778,10","10.000,00","3.221,90"
12,2020,"COMISSAO DE DESENVOLVIMENTO ECONOMICO, INDUSTRIA E",202050150004,Indústria,Nacional,"COMISSAO DE DESENVOLVIMENTO ECONOMICO, INDUSTRIA E",4,Promoção industrial,Emenda de Comissão,"10.000,00","0,00","0,00","10.000,00","10.000,00","0,00"
13,2020,DENIS BEZERRA,202039590019,Educação,CEARÁ (UF),DENIS BEZERRA,19,Ensino profissional,Emenda Individual,"15.105,39","0,00","0,00","0,00","15.105,39","15.105,39"
